"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE55-59","BTSX","0.036344","0.03634","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE60-64","FMLE","2005905","2005905.00000","","",""
"LIFE_0000000031","PUBLISHED","2012","WPR","AGE80-84","BTSX","48154.6","48154.65000","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE5-9","BTSX","0.001913","0.00191","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE40-44","BTSX","0.014576","0.01458","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE85-89","BTSX","0.501677","0.50168","","",""
"LIFE_0000000033","PUBLISHED","1990","WPR","AGE50-54","FMLE","439189.6","439189.60000","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGE45-49","BTSX","0.004357","0.00436","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE85-89","FMLE","17186.8","17186.83000","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE90-94","BTSX","0.223207","0.22321","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE40-44","FMLE","1062.7","1062.68600","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE40-44","FMLE","37.4","37.42587","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE80-84","BTSX","7.2","7.20963","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE100PLUS","BTSX","1431.3","1431.33600","","",""
"LIFE_0000000033","PUBLISHED","1990","WPR","AGE20-24","FMLE","468883.3","468883.30000","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE85-89","BTSX","133297.3","133297.30000","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE40-44","MLE","0.015854","0.01585","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE95-99","BTSX","2.9","2.85607","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE15-19","BTSX","62.4","62.43511","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE30-34","BTSX","48","47.97843","","",""
